Repair_ID,Property_ID,Repair_Category,Priority,Reported_Date,Completed_Date,Resolution_Days,Repair_Cost,Satisfaction_Score
REP000001,P1340,Roofing,Routine,13/04/2019,2019-05-05,22,585.98,6.7
REP000002,P1091,Plumbing,Routine,2025-02-16,18/02/2025,2,410.05,9.0
REP000003,P1144,Security,Routine,2023-01-16,2023-01-21,5,290.06,6.5
REP000004,P0277,Heating,Routine,2022-01-22,2022-01-24,2,562.31,9.3
REP000005,P0790,Damp & Mould,Urgent,2018-07-13,2018-07-23,10,673.99,6.9
REP000006,P0122,Security,Routine,2023-02-14,17/02/2023,3,139.21,6.2
REP000007,P1367,Electrical,Routine,2021-11-20,2021-11-23,3,514.21,7.7
REP000008,P0309,Heating,Routine,2023-10-14,2023-10-26,12,665.39,6.1
REP000009,P0829,Roofing,Emergency,2022-06-01,2022-06-05,4,1504.87,
REP000010,P0212,Security,Routine,09/05/2018,2018-05-16,7,112.59,6.3
REP000011,P1131,Roofing,Urgent,09/05/2023,2023-05-24,15,781.12,7.2
REP000012,P0270,Damp & Mould,Urgent,2023-07-14,08/08/2023,25,1403.65,2.9
REP000013,P0161,Plumbing,Routine,2018-05-20,2018-05-27,7,544.52,6.6
REP000014,P0590,Plumbing,Routine,2019-10-26,2019-11-01,6,726.03,7.7
REP000015,P0602,Electrical,Urgent,2023-10-01,2023-10-03,2,361.84,7.6
REP000016,P0281,Roofing,Routine,2024-01-25,2024-02-05,11,1219.19,8.1
REP000017,P1333,Heating,Urgent,2025-02-27,2025-03-03,4,1102.48,6.7
REP000018,P0368,Security,Urgent,13/12/2023,2023-12-17,4,460.44,8.2
REP000019,P0222,Plumbing,Routine,2023-03-01,2023-03-13,12,236.62,6.3
REP000020,P0848,Heating,Routine,22/05/2021,2021-05-25,3,599.84,8.1
REP000021,P0529,Roofing,Urgent,2019-05-23,07/06/2019,15,416.73,8.0
REP000022,P0404,Electrical,Routine,2025-10-25,2025-10-28,3,400.44,6.4
REP000023,P1008,Electrical,Routine,2019-09-04,2019-09-05,1,171.76,9.4
REP000024,P0892,Roofing,Routine,2023-09-16,2023-10-06,20,999.26,7.7
